0.0,127.095804906,38.6801621095,138.377364962,50.0690107768,164.213190705,168.980000217,23.4085814178,133.756564403,34.502056847,143.282916107,41.1861977895,154.842485352
127.095804906,0.0,160.232426683,21.3642929926,123.559180765,48.8032606104,48.9862755292,150.333918462,9.32316254018,138.837145976,23.098832339,136.980816673,49.2178633383
38.6801621095,160.232426683,0.0,175.288294633,39.1695537012,149.565385577,148.271788729,19.0324544572,160.705280679,21.7396520149,174.633545869,24.8357409072,150.431474054
138.377364962,21.3642929926,175.288294633,0.0,144.207252437,31.7930706335,33.7467762361,156.616080574,22.5427396811,160.069765728,6.51369399869,158.123516984,29.424105751
50.0690107768,123.559180765,39.1695537012,144.207252437,0.0,145.524194871,140.735002829,49.3333140259,121.712980632,19.8797197869,143.54083771,15.0144701732,154.995433778
164.213190705,48.8032606104,149.565385577,31.7930706335,145.524194871,0.0,4.88859477343,156.345666555,44.7222618549,160.360308315,28.0299386367,154.198398514,9.47135459328
168.980000217,48.9862755292,148.271788729,33.7467762361,140.735002829,4.88859477343,0.0,158.193335178,44.1694536643,156.176653524,29.6744168161,149.744042835,14.2852659439
23.4085814178,150.333918462,19.0324544572,156.616080574,49.3333140259,156.345666555,158.193335178,0.0,156.618232084,29.5394130046,160.78511193,35.4517963586,150.881392275
133.756564403,9.32316254018,160.705280679,22.5427396811,121.712980632,44.7222618549,44.1694536643,156.618232084,0.0,139.135577431,22.2705899398,136.002480866,46.8657852448
34.502056847,138.837145976,21.7396520149,160.069765728,19.8797197869,160.360308315,156.176653524,29.5394130046,139.135577431,0.0,161.163695656,7.70422286489,167.612282157
143.282916107,23.098832339,174.633545869,6.51369399869,143.54083771,28.0299386367,29.6744168161,160.78511193,22.2705899398,161.163695656,0.0,158.07280966,26.7854969529
41.1861977895,136.980816673,24.8357409072,158.123516984,15.0144701732,154.198398514,149.744042835,35.4517963586,136.002480866,7.70422286489,158.07280966,0.0,162.519105715
154.842485352,49.2178633383,150.431474054,29.424105751,154.995433778,9.47135459328,14.2852659439,150.881392275,46.8657852448,167.612282157,26.7854969529,162.519105715,0.0
